,quorum_campinas_sp,quorum_birigui_sp,quorum_mogi_das_cruzes_sp,quorum_santo_andre_sp,quorum_maua_sp,quorum_sao_vicente_sp,quorum_aruja_sp,quorum_itapeva_sp,quorum_braganca_paulista_sp,quorum_lorena_sp,quorum_salto_sp,quorum_guaratingueta_sp,quorum_votuporanga_sp,quorum_ibiuna_sp,quorum_catanduva_sp,quorum_pindamonhangaba_sp,quorum_praia_grande_sp,quorum_cajamar_sp,quorum_sumare_sp,quorum_sao_jose_dos_campos_sp,quorum_paulinia_sp,quorum_barueri_sp,quorum_sao_sebastiao_sp,quorum_rio_claro_sp,quorum_cotia_sp,quorum_guarulhos_sp,quorum_assis_sp,quorum_osasco_sp,quorum_taboao_da_serra_sp,quorum_leme_sp,quorum_limeira_sp,quorum_araras_sp,quorum_marilia_sp,quorum_caraguatatuba_sp,quorum_jundiai_sp,quorum_vinhedo_sp,quorum_sao_paulo_sp,quorum_sao_bernardo_do_campo_sp,quorum_tatui_sp,quorum_diadema_sp,quorum_varzea_paulista_sp,quorum_jau_sp,quorum_sao_caetano_do_sul_sp,quorum_jandira_sp,quorum_itapetininga_sp,quorum_aracatuca_sp,quorum_itapecerica_da_serra_sp,quorum_cruzeiro_sp,quorum_caieiras_sp,quorum_poa_sp,quorum_ubatuba_sp,quorum_itu_sp,quorum_mogi_mirim_sp,quorum_cubatao_sp,quorum_hortolandia_sp,quorum_valinhos_sp,quorum_lins_sp,quorum_embu_das_artes_sp,quorum_sao_carlos_sp,quorum_mairipora_sp,quorum_atibaia_sp,quorum_bauru_sp,quorum_franca_sp,quorum_guaruja_sp,quorum_sao_jose_do_rio_preto_sp,quorum_ferraz_de_vasconcelos_sp,quorum_votorantim_sp,quorum_mogi_guacu_sp,quorum_itanhaem_sp,quorum_franco_da_rocha_sp,quorum_sao_roque_sp,quorum_sao_joao_da_boa_vista_sp,quorum_ourinhos_sp,quorum_botucatu_sp,quorum_santana_de_parnaiba_sp,quorum_suzano_sp,quorum_sertaozinho_sp,quorum_taubate_sp,quorum_cacapava_sp,quorum_indaiatuba_sp,quorum_sorocaba_sp,quorum_bebedouro_sp,quorum_santos_sp,quorum_carapicuiba_sp,quorum_itatiba_sp,quorum_itaquaquecetuba_sp,quorum_avare_sp,quorum_araraquara_sp,quorum_ribeirao_pires_sp,quorum_campo_limpo_paulista_sp,quorum_piracicaba_sp,quorum_barretos_sp,quorum_francisco_morato_sp,quorum_ribeirao_preto_sp,quorum_americana_sp,quorum_itapevi_sp,quorum_presidente_prudente_sp,quorum_jacarei_sp,quorum_matao_sp,quorum_santa_barbara_doeste_sp
quorum_campinas_sp,0.9999998,0.86516845,0.84120107,0.87245476,0.8299825,0.8965971,0.83936226,0.8856369,0.76844084,0.82594997,0.87725866,0.809026,0.82914793,0.8428507,0.9041629,0.8260776,0.74211115,0.8322602,0.7526841,0.815711,0.6622143,0.9121451,0.8599771,0.5665266,0.85101926,0.815379,0.8082097,0.75395596,0.79157174,0.79952526,0.8739177,0.817932,0.8393607,0.8425245,0.8258676,0.8206887,0.8960731,0.89136314,0.8968579,0.8427679,0.8751247,0.8777602,0.89018774,0.84032685,0.7447797,0.89291453,0.81201077,0.82068884,0.8438207,0.8590472,0.8314917,0.8075079,0.77658427,0.84500265,0.880468,0.8286699,0.8468119,0.88205254,0.892417,0.8762795,0.8666586,0.89016145,0.88624465,0.84671557,0.8561814,0.83044904,0.6459465,0.8172592,0.8570869,0.80081546,0.8165472,0.8774798,0.81930065,0.8493184,0.8738763,0.7887587,0.835706,0.6612407,0.8841032,0.80514514,0.84997964,0.8945614,0.85244,0.8500463,0.8938633,0.78075254,0.8080495,0.83029336,0.7142254,0.8507426,0.7012403,0.8265812,0.76849556,0.8165196,0.8168837,0.79400754,0.7838421,0.8365737,0.8599819,0.88745743
quorum_birigui_sp,0.86516845,1.0000004,0.7786536,0.8868202,0.80552375,0.91346264,0.76043487,0.85976744,0.9030403,0.92544293,0.7886145,0.7560456,0.787948,0.7858639,0.84557927,0.7507051,0.73868155,0.8644484,0.8890691,0.87058234,0.6367178,0.8270557,0.8831859,0.6367031,0.8028642,0.7616209,0.7301574,0.7428132,0.7408767,0.72698736,0.8615692,0.8716179,0.7987951,0.8357685,0.86220074,0.79747045,0.8514973,0.92743266,0.88444674,0.9030537,0.8787667,0.8437927,0.9197353,0.81465244,0.7157049,0.77021545,0.8131888,0.8074673,0.84805024,0.8242642,0.84257525,0.82043135,0.7760626,0.80738926,0.8010917,0.8125258,0.8233272,0.8648114,0.9310726,0.7574327,0.7812082,0.86638206,0.82857656,0.8402171,0.8618358,0.8655939,0.60934436,0.85306776,0.8773772,0.79073954,0.78685033,0.88173556,0.7543917,0.8947168,0.7743314,0.8017845,0.90972054,0.68200105,0.8727978,0.78238285,0.86341405,0.8461721,0.8713305,0.7544004,0.825652,0.8302312,0.76380086,0.76702154,0.611594,0.8728418,0.64908475,0.7707517,0.84964997,0.93769807,0.8251973,0.71835476,0.6971613,0.82183737,0.78640914,0.8617556
quorum_mogi_das_cruzes_sp,0.84120107,0.7786536,0.9999997,0.7823441,0.81651783,0.826482,0.8969461,0.86899656,0.6365609,0.73563564,0.89376795,0.7650214,0.88027245,0.89670014,0.88553035,0.9064884,0.72607505,0.75107884,0.71719146,0.7922107,0.6934514,0.8435881,0.8146113,0.5694164,0.8483039,0.85114896,0.8802182,0.7856026,0.77172226,0.9299629,0.8900504,0.74871397,0.83830863,0.80632806,0.80295587,0.8627958,0.8688845,0.81310225,0.85796034,0.805848,0.8175927,0.8170881,0.80797625,0.76840246,0.7301072,0.86226046,0.7841848,0.8068625,0.8467499,0.7868893,0.811418,0.8051847,0.8175861,0.8270253,0.8665631,0.8758056,0.85505414,0.8754087,0.8231309,0.81960315,0.84273875,0.8206393,0.9006884,0.8087212,0.7906029,0.8111386,0.6732185,0.7590443,0.84898376,0.8316162,0.77425885,0.82453567,0.85874796,0.7855237,0.8777884,0.7662976,0.7556746,0.67853594,0.8237928,0.8452415,0.83207643,0.8391079,0.77781034,0.8867829,0.8324212,0.7868613,0.76981205,0.8727578,0.82732683,0.82146335,0.6972954,0.8520819,0.7717054,0.74008507,0.7670326,0.80785185,0.79319847,0.785967,0.8658646,0.8967181
quorum_santo_andre_sp,0.87245476,0.8868202,0.7823441,1.0000001,0.7824156,0.9101114,0.77453506,0.83193195,0.8330419,0.84933174,0.78253835,0.82349694,0.74237394,0.7681627,0.81416845,0.7219585,0.7245821,0.82981336,0.796258,0.7970888,0.6297023,0.8110757,0.8494241,0.5715945,0.82910866,0.80057245,0.74250615,0.72560525,0.763624,0.70707464,0.8257774,0.8147266,0.74628186,0.7851177,0.80495656,0.7850995,0.8602025,0.91297555,0.86725396,0.86272484,0.843186,0.8201647,0.9149934,0.7709025,0.71964955,0.79737675,0.72978526,0.88897336,0.84473896,0.7857506,0.77711856,0.8688817,0.7177429,0.8530727,0.78085214,0.78702366,0.8622376,0.84268314,0.91772807,0.7937337,0.81207705,0.8001826,0.7871572,0.816458,0.8998883,0.84307194,0.6323929,0.8116041,0.8211212,0.8893204,0.7635063,0.90903854,0.75435925,0.83159745,0.7683625,0.7439852,0.8492547,0.62604725,0.8185828,0.8409293,0.8439254,0.820748,0.9425565,0.7364968,0.8516407,0.8987262,0.747518,0.77277064,0.64447755,0.84363854,0.6190208,0.80821645,0.7834245,0.85164094,0.7706388,0.7170172,0.7704969,0.78718334,0.799014,0.86404383
quorum_maua_sp,0.8299825,0.80552375,0.81651783,0.7824156,1.0,0.83188516,0.82732856,0.8179209,0.7025691,0.7728988,0.7932893,0.72716874,0.8220569,0.80348027,0.8148489,0.7826725,0.6604014,0.84351784,0.76252043,0.8113406,0.66769636,0.8426547,0.8316431,0.5722301,0.8374204,0.84823895,0.78423953,0.7915461,0.7766416,0.7712827,0.89028823,0.7677355,0.83472174,0.7733244,0.92058736,0.85978675,0.84259796,0.8292943,0.78442585,0.8126377,0.84160674,0.82793415,0.832729,0.7296051,0.7346051,0.8273128,0.7967473,0.74131227,0.8409421,0.8016493,0.80875826,0.79150325,0.87931144,0.78305924,0.7610266,0.88334787,0.79998577,0.849151,0.8279754,0.79698133,0.8123108,0.830642,0.8217349,0.7732011,0.8303686,0.8491218,0.61111593,0.82104945,0.79413617,0.7397343,0.74542445,0.84257007,0.86520594,0.78627324,0.79137397,0.8783803,0.76433516,0.6476367,0.8109517,0.7145206,0.83009076,0.8076794,0.7776829,0.76417327,0.80445206,0.72190267,0.7585219,0.7913289,0.70179456,0.81172884,0.6928822,0.82195115,0.7474047,0.777943,0.8891207,0.7953554,0.6999006,0.79393375,0.8143162,0.8071657
quorum_sao_vicente_sp,0.8965971,0.91346264,0.826482,0.9101114,0.83188516,1.0000005,0.79259825,0.8857056,0.8543352,0.92593616,0.8353839,0.79402333,0.809287,0.82750666,0.87862897,0.78421175,0.72886145,0.88539696,0.8622285,0.87973803,0.65162164,0.83038557,0.9201226,0.5939694,0.8313205,0.81892955,0.7745961,0.7670269,0.7920498,0.7620069,0.89561534,0.86508656,0.81195676,0.84151965,0.88654315,0.85572624,0.9472866,0.9853045,0.91049564,0.9409522,0.89958626,0.86136997,0.98460376,0.8350692,0.7505233,0.8245629,0.7969574,0.8142923,0.8749968,0.8308805,0.80686486,0.84544456,0.7863139,0.8285763,0.8400758,0.8641337,0.84088206,0.89361715,0.9839469,0.8177737,0.7912352,0.8667361,0.86217046,0.893625,0.9490618,0.89712584,0.6135273,0.8546368,0.9087136,0.8205906,0.78433454,0.95630306,0.8043512,0.86827457,0.83336866,0.7840444,0.9307828,0.67407,0.88564706,0.8030094,0.8888726,0.85811055,0.9137397,0.80859494,0.8923594,0.83234084,0.7332668,0.77068937,0.6996064,0.89745384,0.6386436,0.8142272,0.8304074,0.92626363,0.83564687,0.73994213,0.7589347,0.8300141,0.81762326,0.9135563
quorum_aruja_sp,0.83936226,0.76043487,0.8969461,0.77453506,0.82732856,0.79259825,0.9999999,0.88395804,0.6417211,0.7028054,0.89630485,0.7525977,0.8914431,0.8773998,0.8374001,0.91611683,0.62972784,0.76512605,0.6699861,0.7263923,0.5654998,0.85297465,0.7936656,0.49740088,0.81474715,0.85378885,0.886447,0.7133944,0.8322464,0.8773749,0.85155797,0.6947925,0.82240415,0.79575205,0.7838218,0.82190424,0.7959251,0.773594,0.7740053,0.75707567,0.85718954,0.76266533,0.780578,0.70424914,0.6439855,0.93403345,0.7403833,0.804896,0.8364773,0.70817125,0.83073556,0.8426679,0.8032274,0.83268595,0.7768036,0.8362123,0.8462489,0.9078109,0.78107285,0.9074272,0.91776586,0.8169019,0.82741845,0.7359022,0.81298584,0.7696555,0.60354304,0.7447119,0.7645021,0.791229,0.6904346,0.8208777,0.85935426,0.77706087,0.88889027,0.73784083,0.716619,0.61467135,0.8053788,0.76913416,0.77202153,0.7963001,0.74887383,0.8223588,0.85840863,0.748109,0.7734036,0.83659005,0.818216,0.7864783,0.6430219,0.80910724,0.7226377,0.7003221,0.7549687,0.75646025,0.7320638,0.7595577,0.8638624,0.85338455
quorum_itapeva_sp,0.8856369,0.85976744,0.86899656,0.83193195,0.8179209,0.8857056,0.88395804,1.0,0.7351428,0.82398057,0.94214964,0.8023345,0.8527985,0.8427206,0.8734232,0.91496956,0.75832385,0.810518,0.7832268,0.8466816,0.6711509,0.8639008,0.8515862,0.5889249,0.8676772,0.8205056,0.8439265,0.75969136,0.8444177,0.8174153,0.87438536,0.81445843,0.84694326,0.8287081,0.8460014,0.8589212,0.8849087,0.8775987,0.88071024,0.85739374,0.955988,0.83878267,0.8756837,0.8306525,0.7512591,0.881423,0.83764803,0.84595144,0.84004426,0.85163295,0.85250807,0.8851961,0.8059154,0.8625436,0.84944344,0.8574243,0.8453779,0.9232451,0.87984157,0.8485019,0.86574256,0.8613503,0.87796545,0.84538543,0.8489237,0.831724,0.6565685,0.78028315,0.8722986,0.833372,0.7691331,0.87706935,0.8323027,0.81807846,0.9385185,0.81046784,0.8348961,0.7109637,0.84395194,0.8274658,0.8424775,0.88725823,0.8367089,0.84298193,0.87564695,0.81915843,0.739236,0.80404615,0.75637364,0.8381208,0.7207548,0.84170127,0.80425245,0.83018315,0.8187498,0.78054523,0.7727273,0.82916296,0.82125854,0.88828707
quorum_braganca_paulista_sp,0.76844084,0.9030403,0.6365609,0.8330419,0.7025691,0.8543352,0.6417211,0.7351428,1.0000002,0.93213224,0.6528751,0.6767619,0.6452596,0.6390495,0.7103229,0.60375863,0.67588216,0.8664402,0.8289268,0.81706434,0.572043,0.7175372,0.8342386,0.5191873,0.69533706,0.62118834,0.58581406,0.64018786,0.6564272,0.5556211,0.77929366,0.8322307,0.66037005,0.7212279,0.7693658,0.7085587,0.7705188,0.8804763,0.80152655,0.8695884,0.78621554,0.7608453,0.8751428,0.70906985,0.662136,0.6292049,0.72509634,0.73441005,0.78069717,0.7283513,0.74589336,0.7309648,0.6564427,0.6967145,0.6887717,0.69825053,0.700616,0.7832991,0.8740319,0.64654374,0.7258142,0.7313745,0.67015386,0.7674693,0.82026327,0.83514005,0.49052405,0.87407154,0.8071219,0.68346673,0.68124115,0.82438886,0.6202979,0.8743223,0.64154387,0.68880326,0.86141646,0.62965846,0.8250272,0.67476165,0.8173843,0.7571178,0.83394384,0.6250277,0.6897994,0.757974,0.69140434,0.6755171,0.46270144,0.80598843,0.58823943,0.6594765,0.81080544,0.8960665,0.71055907,0.65310967,0.5706274,0.71788746,0.70726335,0.73032707
quorum_lorena_sp,0.82594997,0.92544293,0.73563564,0.84933174,0.7728988,0.92593616,0.7028054,0.82398057,0.93213224,1.0,0.7571416,0.6959697,0.73053014,0.70758516,0.79175675,0.70089644,0.7375792,0.9180616,0.9067973,0.8997102,0.6308691,0.7718452,0.8883325,0.59674525,0.764633,0.68465793,0.6769879,0.7165332,0.71260476,0.6401607,0.8525149,0.89040405,0.72723997,0.78986776,0.8483313,0.8062353,0.877028,0.9461324,0.88293004,0.9442216,0.8618056,0.84536785,0.9437901,0.78869534,0.7399744,0.7029028,0.7824844,0.7668796,0.8492068,0.8305944,0.7704556,0.7861732,0.7200986,0.7622404,0.77125823,0.8148629,0.74533546,0.84306526,0.93844587,0.6985048,0.75095546,0.80859476,0.78545344,0.8729688,0.8693431,0.90979886,0.5776657,0.89579064,0.90581167,0.72956264,0.76975286,0.88458383,0.6964612,0.8747481,0.75884783,0.7645007,0.93283194,0.6758729,0.87089807,0.7232096,0.9016298,0.81867725,0.8831049,0.72844136,0.75067234,0.79710585,0.6829008,0.7238648,0.5884796,0.86485183,0.62970245,0.7125438,0.8756818,0.95020545,0.7788593,0.70117235,0.6509459,0.75466657,0.77772236,0.82046807
